,level_0,index,review_title,review_comment,review_star_rating,asin,comments_no_stopwords,neg,neu,pos,compound,sentiment
494,511,511,"Small, quiet and good quality",This projector is a bit smaller than the previous I have used which is good. I like it as it is easier to move around and mount to a tripod. It comes with an hdmi cable which is what I used from my laptop to projector. I was also able to cast to it with my android device. This is a great projector and I look forward to using it outside on my projector screen. Maybe I will add those pictures to the review. You don't need a large tripod for this as it is very light. The tripod I used cost about $10,5,B099N4NSSD,This projector bit smaller previous I used good. I like easier move around mount tripod. It comes hdmi cable I used laptop projector. I also able cast android device. This great projector I look forward using outside projector screen. Maybe I add pictures review. You need large tripod light. The tripod I used cost $10,0.0,0.782,0.218,0.9062,1
495,512,512,"Portable, Powerful, Affordable!","Arrived in a well packed box. With a easy to comprehend instructions written in perfect english and colorful illustrations. An ergonomic remote control (batteries not included) and enough cables to ensure a physical connection although the wifi and bluetooth connections are a breeze, thanks in part to the instructions that came in the box; but don't worry caring them because the easy to navigate settings on the proyector menu options will take you step by step whenever you tried to connect it on the go. The compact size and lightweight makes it easy to take it wherever you need it to go. Either for a work presentations, a movie night at the backyard or campground, school assignments, trade shows, or even use it for diy crafts projecting complex designs to trace on walls; the possibilities are endless with the versatility of this little but powerful projector image quality. The bluetooth connectivity makes pairing it with an external speaker a perfect option for a movie night in the open outdoor; for indoors the unit came with a decent size speaker and even the option for headphones via a physical jack connection. The only thing missing to this versatile machine, besides the two triple A batteries for the remote control, that aren't included for obvious shipping restrictions; is a caring case. But taking vantage of the size and lightweightness I resolved it using an old camera bag, taking it wherever I wanted. Don't make the size or the cost fools you; this is the best choice for all your business and pleasure visual needs.",5,B099N4NSSD,"Arrived well packed box. With easy comprehend instructions written perfect english colorful illustrations. An ergonomic remote control (batteries included) enough cables ensure physical connection although wifi bluetooth connections breeze, thanks part instructions came box; worry caring easy navigate settings proyector menu options take step step whenever tried connect go. The compact size lightweight makes easy take wherever need go. Either work presentations, movie night backyard campground, school assignments, trade shows, even use diy crafts projecting complex designs trace walls; possibilities endless versatility little powerful projector image quality. The bluetooth connectivity makes pairing external speaker perfect option movie night open outdoor; indoors unit came decent size speaker even option headphones via physical jack connection. The thing missing versatile machine, besides two triple A batteries remote control, included obvious shipping restrictions; caring case. But taking vantage size lightweightness I resolved using old camera bag, taking wherever I wanted. Don't make size cost fools you; best choice business pleasure visual needs.",0.043,0.764,0.192,0.9714,1
496,513,513,"Great, small factor projector.","Great, small factor projector. Ease of setup and use. I was successfully able to connect via Wifi from my laptop and tablet to cast. USB port also easy for displaying photo slide show. Slideshow does not have ability to set at Random (shuffle) nor can you set the interval times. This would be great feature enhancements for future builds.",5,B099N4NSSD,"Great, small factor projector. Ease setup use. I successfully able connect via Wifi laptop tablet cast. USB port also easy displaying photo slide show. Slideshow ability set Random (shuffle) set interval times. This would great feature enhancements future builds.",0.0,0.626,0.374,0.959,1
497,514,514,My  favorite LED projector by far! Ticks all the boxes.,"I bought this Nebula Capsule for a trip to South America to visit family (to show home movies and pictures). It is about the same size as a can of coke, so it is small, but boy does it pack a punch. All of the other projectors I have used were shaped like smartphones, so I was a bit thrown off by the shape of the Nebula. But let me just tell you right now, this can shape is great! I really can't say there is anything I did not like about this unit when it comes to the major features. It just ticked all the boxes. They got a lot of things right on this unit.

Things is really liked.

1. Great Speakers!
The main thing that was wrong on the other four units I have used was the speakers, which were all but useless. That is not the case with this Nebula. I showed videos to groups to over 30 people in an outdoor setting and no one had any trouble hearing clearly. Since all my previous LED projectors had basically worthless speaker, I was not expecting anything different out of this Nebula, so I bought the OontZ Angle 3 Portable Bluetooth Speaker to use with it. I did a side by side test with the OontZ Angle 3 and there is no question that built-in speakers on the Nebula are noticeably louder. Sound quality wise, they were very close. The OontZ Angle 3, I would say, had a little deeper base which might a little better for music, but the speakers on the Nebula were clearer and sharper, which is better for voice. Both speakers produced quality sound.

2. Amazing Battery Life
The thing about portable LED projectors, is that they are intended to run on battery. If you have to be hooked to AC power, why go LED in the first place? But the issue I have always had with the smartphone-shaped LED projectors is that they did not have enough battery life to play a full 2-hour movie on max brightness. Most of them top out at about 90 minutes of battery. That is not true on this Nebula. I was able to show two full-length Hollywood movies on it at max brightness and max volume with battery life to spare.

3. Good Brightness.
I am not going to say that this tiny projector can blow your 2000 Lumin Halogen full-size projector out of the water, but it has enough brightness to get the job done. I used it for three weeks showing movies nightly in South America and not once did I hear a complaint about the brightness from anyone.

4. Color Accuracy
One thing I have always had trouble with LED projectors is color accuracy. On my other units, I was always trying to mess with the settings, trying to get the color right. Not on this Nebula. The color and hue on this Nebula was spot on from the factory. I never even looked for the color settings.

5. Can be Powered with an External Battery Pack
For me, this is just a common sense MUST for a portable projector. Unfortunately, as baffling to me as it may be, there are some LED projectors that CANNOT be powered by an external battery pack (like you would use to charge your phone). Even though I never need this feature due to the over four-hour built-in battery life, it is still something I consider very important to have on a portable projector.

Things I feel could be better.

1. Only 8 GB Internal Memory
Considering that memory has gotten extremely cheap these days, I was very surprised to find that the unit only had 8 GB of internal Memory. Considering that the unit does not have a built-in SD card slot for extra memory, this was surprising, to say the least, but not a deal killer by any measure.

2. No Built-in Expandable Memory Slot.
This was another surprise to me that I did not even think about looking for because I just assumed it would have it because it is just a standard issue thing on electronics nowadays. The Nebula does have a mini-USB port (same as most Android smartphones) and comes with a USB adaptor cord that allows you to expand the memory with a USB Thumb/flash drive. Instead of using this, I chose to use the Transcend TS-RDP9K USB 2.0 OTG Card Reader, that accepts micro-SD cards, which is what I use more of. I was able to play videos from it without any issues through this port with my card reader.

3. Same Port for Expandable Memory and Charging.
If there is a real con on this device, this is it. It's not a deal breaker, but I would definitely like to see this issue addressed in newer models. Again this goes back to the small 8 GB onboard memory. Since the projector has no built-in memory card slot and uses the mini-usb charging port for expandable memory, if you run out of battery while showing a movie from a flash drive, you are dead in the water, because there is no way to power the device and play from a flash drive, since they both have to be done on the one min-usb port. So, in the event, you run out of battery and need to power the device externally, you can only play the content that is on the small 8 GB internal drive. Again, this is not a deal breaker but is clearly an engineering oversight. This problem can be easily remedied by adding an extra min-usb or a micro-SD card slot.

4. Remote Control
I am not sure if my remote control was defective or not, but it absolutely could not adjust the volume. It worked fine menu navigation, but the volume buttons gave no response. Fortunately, the projector has volume control buttons right on top of it so it was not a huge issue. There is a remote control Android app for smartphones and it does work, but like most of the remote control android apps, it is kind of janky to use.

All in all, I think this is the best mini LED projector on the market. I ended up donating my projector to a local church while in South America, but I will be buying another. For most purposes, this an all-in-one movie studio that is the size of a can of coke. Honestly, it is a flat our marvel of science. Throw this in your bag and you have everything you need for showing movies, viewing photos, videos, etc, etc. I recommend buying the very nice Nebula Capsule Official Travel Case to go with it.",5,B0CHW11C8H,"I bought Nebula Capsule trip South America visit family (to show home movies pictures). It size coke, small, boy pack punch. All projectors I used shaped like smartphones, I bit thrown shape Nebula. But let tell right now, shape great! I really can't say anything I like unit comes major features. It ticked boxes. They got lot things right unit. Things really liked. 1. Great Speakers! The main thing wrong four units I used speakers, useless. That case Nebula. I showed videos groups 30 people outdoor setting one trouble hearing clearly. Since previous LED projectors basically worthless speaker, I expecting anything different Nebula, I bought OontZ Angle 3 Portable Bluetooth Speaker use it. I side side test OontZ Angle 3 question built-in speakers Nebula noticeably louder. Sound quality wise, close. The OontZ Angle 3, I would say, little deeper base might little better music, speakers Nebula clearer sharper, better voice. Both speakers produced quality sound. 2. Amazing Battery Life The thing portable LED projectors, intended run battery. If hooked AC power, go LED first place? But issue I always smartphone-shaped LED projectors enough battery life play full 2-hour movie max brightness. Most top 90 minutes battery. That true Nebula. I able show two full-length Hollywood movies max brightness max volume battery life spare. 3. Good Brightness. I going say tiny projector blow 2000 Lumin Halogen full-size projector water, enough brightness get job done. I used three weeks showing movies nightly South America I hear complaint brightness anyone. 4. Color Accuracy One thing I always trouble LED projectors color accuracy. On units, I always trying mess settings, trying get color right. Not Nebula. The color hue Nebula spot factory. I never even looked color settings. 5. Can Powered External Battery Pack For me, common sense MUST portable projector. Unfortunately, baffling may be, LED projectors CANNOT powered external battery pack (like would use charge phone). Even though I never need feature due four-hour built-in battery life, still something I consider important portable projector. Things I feel could better. 1. Only 8 GB Internal Memory Considering memory gotten extremely cheap days, I surprised find unit 8 GB internal Memory. Considering unit built-in SD card slot extra memory, surprising, say least, deal killer measure. 2. No Built-in Expandable Memory Slot. This another surprise I even think looking I assumed would standard issue thing electronics nowadays. The Nebula mini-USB port (same Android smartphones) comes USB adaptor cord allows expand memory USB Thumb/flash drive. Instead using this, I chose use Transcend TS-RDP9K USB 2.0 OTG Card Reader, accepts micro-SD cards, I use of. I able play videos without issues port card reader. 3. Same Port Expandable Memory Charging. If real con device, it. It's deal breaker, I would definitely like see issue addressed newer models. Again goes back small 8 GB onboard memory. Since projector built-in memory card slot uses mini-usb charging port expandable memory, run battery showing movie flash drive, dead water, way power device play flash drive, since done one min-usb port. So, event, run battery need power device externally, play content small 8 GB internal drive. Again, deal breaker clearly engineering oversight. This problem easily remedied adding extra min-usb micro-SD card slot. 4. Remote Control I sure remote control defective not, absolutely could adjust volume. It worked fine menu navigation, volume buttons gave response. Fortunately, projector volume control buttons right top huge issue. There remote control Android app smartphones work, like remote control android apps, kind janky use. All all, I think best mini LED projector market. I ended donating projector local church South America, I buying another. For purposes, all-in-one movie studio size coke. Honestly, flat marvel science. Throw bag everything need showing movies, viewing photos, videos, etc, etc. I recommend buying nice Nebula Capsule Official Travel Case go it.",0.073,0.72,0.207,0.9984,1
498,515,515,SO HAPPY With This-- but READ THIS FIRST!!,"I feel like a lot of the negative reviews didn't do their research before choosing a projector, and didn't bother to actually read any instructions... I spent hours comparing and contrasting projectors and finally settled on this one because of the built in apps. You *can not* airplay copyrighted content from your phone onto ANY projector (ie. Netflix/Hulu). With other, cheaper projectors, people plug in an EXTRA streaming device in order to utilize these apps. So they had to buy a projector PLUS a fire stick or roku or had to get a cable for their phone... all a lot of hubbub I didn't want to deal with. This projector has the apps built into it, so they all run from the projector alone.

A lot of people said it didn't work with iPhone and I feel like this is because they were trying to airplay content instead of using the apps on the projector itself. I actually was able to airplay from the iphone MTV app (before I found out that the projector had one to download) and the video quality was delayed a lot. So just use the built in apps. They're there for a reason.

However, using a mobile device is still required in terms of navigating through your apps. The remote control works for the projector's menu, but some apps like Hulu require you to use your phone as the remote control through the Nebula app. It basically turns your phone into a trackpad and a mouse. Easy to get the hang of. There's also a keyboard that pops up which makes it easy to search titles or input login info through your phone so you don't have to select one letter at a time. The app works fine on my iPhone 13 without any lag or connectivity issues.

**** Now here's where you really need to pay attention:**** the app comes with Netflix, YouTube, and Amazon Prime pre-loaded. Out of the box, you won't find Hulu US, Disney or HBO in the app store. Look on your main menu to see if there's an Upgrade button. If there is, go through those steps which will update the software and unlock those apps in the app store for you. If there isn't (or this doesn't work) send an email to their support asking to unlock the apps and they'll send you the instructions and a password to do so within 24 hours (seriously, they're really responsive even on weekends). Apparently they are still testing the projector's compatibility with these apps which is why it doesn't come default, but the updating process is simple (10 min) and all apps have run smoothly for me. I probably use Hulu the most out of all.

The battery life has been pretty accurate for me-- 4 hours of watching straight before I get a notice that I'm low battery and need to charge. I've gotten down to 2%, then plugged it in and kept watching and that worked as well, so it charges faster than it burns battery which is nice.

I also LOVE that there's an option to warp the projection image, which means if you have this projecting at an angle, you can adjust the picture so that it looks like it's being projected straight on and it's not stretched. We have it resting on our bed's headboard but the picture looks like it's being projected straight across the room.

As it runs, there's a pretty subtle fan sound but that usually gets drowned out by the video's audio. It can get pretty loud (though we only watch it inside, not sure how it sounds outside).

So overall, I think this is the BEST choice in projector if you don't want to deal with extra plugs, streaming devices, and you're willing to deal with the short update process even if that means emailing them. I've seriously enjoyed using it as a bedroom TV, as we had no place to put a physical TV but we had a big blank wall that works perfectly as a ""screen"" for this.",5,B0CHW11C8H,"I feel like lot negative reviews research choosing projector, bother actually read instructions... I spent hours comparing contrasting projectors finally settled one built apps. You *can not* airplay copyrighted content phone onto ANY projector (ie. Netflix/Hulu). With other, cheaper projectors, people plug EXTRA streaming device order utilize apps. So buy projector PLUS fire stick roku get cable phone... lot hubbub I want deal with. This projector apps built it, run projector alone. A lot people said work iPhone I feel like trying airplay content instead using apps projector itself. I actually able airplay iphone MTV app (before I found projector one download) video quality delayed lot. So use built apps. They're reason. However, using mobile device still required terms navigating apps. The remote control works projector's menu, apps like Hulu require use phone remote control Nebula app. It basically turns phone trackpad mouse. Easy get hang of. There's also keyboard pops makes easy search titles input login info phone select one letter time. The app works fine iPhone 13 without lag connectivity issues. **** Now here's really need pay attention:**** app comes Netflix, YouTube, Amazon Prime pre-loaded. Out box, find Hulu US, Disney HBO app store. Look main menu see there's Upgrade button. If is, go steps update software unlock apps app store you. If (or work) send email support asking unlock apps they'll send instructions password within 24 hours (seriously, they're really responsive even weekends). Apparently still testing projector's compatibility apps come default, updating process simple (10 min) apps run smoothly me. I probably use Hulu all. The battery life pretty accurate me-- 4 hours watching straight I get notice I'm low battery need charge. I've gotten 2%, plugged kept watching worked well, charges faster burns battery nice. I also LOVE there's option warp projection image, means projecting angle, adjust picture looks like projected straight stretched. We resting bed's headboard picture looks like projected straight across room. As runs, there's pretty subtle fan sound usually gets drowned video's audio. It get pretty loud (though watch inside, sure sounds outside). So overall, I think BEST choice projector want deal extra plugs, streaming devices, willing deal short update process even means emailing them. I've seriously enjoyed using bedroom TV, place put physical TV big blank wall works perfectly ""screen"" this.",0.056,0.77,0.174,0.993,1
499,516,516,Best hand held projector,If your looking for a hand held projector or this is great,4,B0CHW11C8H,If looking hand held projector great,0.0,0.354,0.646,0.8074,1
500,517,517,Great Portable Projector!,"I did alot of research to find the best mini projector and this one had the best options. This is a great little projector! Love that Netflix is already loaded, making it so much easier to travel with.  The auto and keystone correction is cool and sound is actually louder and better quality than expected on such a small device. Like the options to mirror cast and connect a gaming system. I was concerned about the brightness but it was brighter than I thought and could even view with the lights on. You do have to be close to the projector to use the remote but other than that no complaints. Happy with my purchase!",5,B0CHW11C8H,"I alot research find best mini projector one best options. This great little projector! Love Netflix already loaded, making much easier travel with. The auto keystone correction cool sound actually louder better quality expected small device. Like options mirror cast connect gaming system. I concerned brightness brighter I thought could even view lights on. You close projector use remote complaints. Happy purchase!",0.031,0.546,0.423,0.9869,1
501,518,518,Easy and versatile,"Haven’t had it too long so can’t comment on longevity but this is great for bringing along while you travel or using outside. Picture quality is superb at night (can’t use in the daytime) and the auto adjust feature is epic, point it at something from any angle and it just works, that and the android tv means as long as you have WiFi or phone hotspot you can watch whatever streaming service you have. Sound quality isn’t crazy but it’s basically a JBL speaker with a projector so it gets the job done. It can run a full movie on battery as well which is nuts for a projector. For the size and price this exceeds my expectations, very well designed",5,B0CHW11C8H,"Haven’t long can’t comment longevity great bringing along travel using outside. Picture quality superb night (can’t use daytime) auto adjust feature epic, point something angle works, android tv means long WiFi phone hotspot watch whatever streaming service have. Sound quality isn’t crazy it’s basically JBL speaker projector gets job done. It run full movie battery well nuts projector. For size price exceeds expectations, well designed",0.062,0.775,0.163,0.8271,1
502,519,519,Great value! So glad I purchased!!,"Despite being a little pricey, it is totally worth it!! Very impressed with the quality and the sounds is good too! Even my dog likes it and he never is interested in Tv! Easy set up, definitely recommend!!",5,B0CHW11C8H,"Despite little pricey, totally worth it!! Very impressed quality sounds good too! Even dog likes never interested Tv! Easy set up, definitely recommend!!",0.126,0.405,0.469,0.914,1
503,520,520,Read their Privacy Policy. They’re intrusive!,"Have you checked out their ‘Privacy Policy’?
They can (will?):

“Collect and store” information on “your search queries, IP addresses, hardware settings, browser type, browser language, the date and time of your request, referral URL, and certain cookies that identify your browser or Account.”

Imbedded web beacons allow their servers certain types of information from your Phone/computer/tablet and to read “when you opened an email message”

Their cookies “May contain information about Device (Device is your phone/computer/tablet) , including “user settings, browsing history, and activities conducted while using the Services.”
And, if you live in California like me they also “do not commit to honoring ""Do Not Track"" signals in your browser.”

Their definition of Content means any “information, text, graphics, written posts, executive files..,” and “other information matetials generated, provided, uploaded, downloaded, appearing or otherwise accessible on or through Nebula”.  So, everything?

Their Privacy Policy also contradicts their Terms in places.

Their Terms indicate:
They’ll collect “the counts of opening certain application”. Not theirs, ‘certain’.

They’ll collect information on your phone/computer/tablet such as hardware and software versions and ‘so on’”.  So on?

It’s s great product - super cool packaging, great display, solid interface.  But I’m going to return it.  It’s like getting a manicure and them rifling through my purse while they do it.  Ultimately, it doesn’t matter how sparkly my nails turn out...",1,B0CHW11C8H,"Have checked ‘Privacy Policy’? They (will?): “Collect store” information “your search queries, IP addresses, hardware settings, browser type, browser language, date time request, referral URL, certain cookies identify browser Account.” Imbedded web beacons allow servers certain types information Phone/computer/tablet read “when opened email message” Their cookies “May contain information Device (Device phone/computer/tablet) , including “user settings, browsing history, activities conducted using Services.” And, live California like also “do commit honoring ""Do Not Track"" signals browser.” Their definition Content means “information, text, graphics, written posts, executive files..,” “other information matetials generated, provided, uploaded, downloaded, appearing otherwise accessible Nebula”. So, everything? Their Privacy Policy also contradicts Terms places. Their Terms indicate: They’ll collect “the counts opening certain application”. Not theirs, ‘certain’. They’ll collect information phone/computer/tablet hardware software versions ‘so on’”. So on? It’s great product - super cool packaging, great display, solid interface. But I’m going return it. It’s like getting manicure rifling purse it. Ultimately, doesn’t matter sparkly nails turn out...",0.01,0.829,0.161,0.9585,1
504,521,521,Not impressed - welcome to dongle life,"I wanted to like the Nebula Capsule projector.  I really did ... the size and the speakers are delightful. To be fair, here is what I liked

- small size
- great sound (plenty loud enough)
- able to install Amazon Prime Video and stream my movies over wifi

HOWEVER, the Nebula Capsule has a number of issues that I can't stand.  For prospective buyers, you need to be aware of these problems:

1. DIM PROJECTION --  If there is ANY ambient light, you will not be able to see the screen projected further than two feet. I can use it at night. Or in a bathroom with no windows. Or possibly camping under starlight. My kids can project onto a piece of paper a foot away.  At short range, the image looks great -- but what's the point when a tablet is the same size with better screen? I've used pico projectors years ago when they first came out, and expected the Nebula capsule to be brighter. It isn't.

2. USB DONGLE LIFE -- I bought a 32gb (Fat32) USB flash drive to play back my movie collection. Unfortunately, the device ONLY has a micro-USB port so you have to use a dongle (included) to use USB flash drives.  Now my projector has a permanent rat's tail poking off the back. This looks dumb and you can't charge the device while using the USB dongle.

3. REMOTE CONTROL REQUIRED -- This absolutely floored me.  I assumed I'd be able to control the device entirely with buttons on the projector.  Nope. You have to use the included remote control so you better not lose it. The capsule's amazing form factor becomes less impressive when you have to carry another accessory to make it work. The capsule phone app works pretty well but I'm not letting my kids have my phone just to pause their video.

4. THE ROCKER BUTTON KIND OF SUCKS -- The device has four buttons on a rocker. Volume Up, Volume Down, Power, and Bluetooth speaker mode.  If my kids try to change volume -- or hold the device the wrong way -- the rocker activates the wrong button and the unit powers down or goes into bluetooth search mode.  The children then bring the projector back to me so I can find their video or use my remote to cancel the bluetooth error message. Poor design.

5. CAN'T USE BUILT IN MEMORY -- I can't figure out how to do it.  I assumed the built-in file explorer would have a function for copying files off the USB and moving them into internal storage, but I can't find this function. I've never used android before, but I believe this is some kind of stripped down &quot;tv android.&quot;  I tried plugging the projector into my clean Windows 10 PC and the Nebula doesn't show up as a storage device. What's the point of having all that memory if you can't put videos on it? For apps, I suppose.  I tried searching for online manual or PC drivers and can't find any manuals on on anker/nebula's website. The tiny printed manual is less than helpful. I guess I'm stuck watching videos off the dongle. I'm sure you techies have some weird workaround, but people shouldn't have to jump through hoops for this function.

6. FIRMWARE  -- failed a few times. Finally downloaded completely, but the device wouldn't let me update until the battery was charged to over 50%.  It didn't matter that the device is plugged directly into the wall. This thing charges SLOW so I'm going to have to wait hours to install the firmware and see if it fixes any of these issues.  Update: it didn't.

7. LOUD FAN -- I can live with this, but this is the loudest cooling fan I've ever had on a portable electronics device under five pounds. It almost sounds like white noise. Reminds me of the fan on my old 3000-lumen Epson projector - that device was 30 times brighter and used a halogen bulb, though.

8. HARD TO ANGLE  -- the image is projected slightly upward and can't be aimed. The cylindrical shape and round footprint of the Nebula capsule make it hard to angle the device. If you slip a book under one edge, the capsule rolls over. The cube shaped projectors (like the Mars) are easier in this regard. You almost HAVE to get a tripod with this Nebula Capsule's round design.

Summary - the Nebula capsule is a neat device, especially if it had come out years ago when the first pico projectors hit the scene. The form factor is cool and the sound is especially impressive for such a small gadget.  However, the projected screen is dim and the projector requires dongles and remote controls to use properly.

The Mars seems like a better option as it is brighter (though only 500 ansi lumens), has a full-sized USB jack (no dongles), and most importantly has ALL the control buttons on top. I generally like Anker products (especially their battery packs) and wish the company much success.  However, I recommend passing on the Nebula Capsule. Mine is going back.",3,B0CHW11C8H,"I wanted like Nebula Capsule projector. I really ... size speakers delightful. To fair, I liked - small size - great sound (plenty loud enough) - able install Amazon Prime Video stream movies wifi HOWEVER, Nebula Capsule number issues I can't stand. For prospective buyers, need aware problems: 1. DIM PROJECTION -- If ANY ambient light, able see screen projected two feet. I use night. Or bathroom windows. Or possibly camping starlight. My kids project onto piece paper foot away. At short range, image looks great -- what's point tablet size better screen? I've used pico projectors years ago first came out, expected Nebula capsule brighter. It isn't. 2. USB DONGLE LIFE -- I bought 32gb (Fat32) USB flash drive play back movie collection. Unfortunately, device ONLY micro-USB port use dongle (included) use USB flash drives. Now projector permanent rat's tail poking back. This looks dumb can't charge device using USB dongle. 3. REMOTE CONTROL REQUIRED -- This absolutely floored me. I assumed I'd able control device entirely buttons projector. Nope. You use included remote control better lose it. The capsule's amazing form factor becomes less impressive carry another accessory make work. The capsule phone app works pretty well I'm letting kids phone pause video. 4. THE ROCKER BUTTON KIND OF SUCKS -- The device four buttons rocker. Volume Up, Volume Down, Power, Bluetooth speaker mode. If kids try change volume -- hold device wrong way -- rocker activates wrong button unit powers goes bluetooth search mode. The children bring projector back I find video use remote cancel bluetooth error message. Poor design. 5. CAN'T USE BUILT IN MEMORY -- I can't figure it. I assumed built-in file explorer would function copying files USB moving internal storage, I can't find function. I've never used android before, I believe kind stripped &quot;tv android.&quot; I tried plugging projector clean Windows 10 PC Nebula show storage device. What's point memory can't put videos it? For apps, I suppose. I tried searching online manual PC drivers can't find manuals anker/nebula's website. The tiny printed manual less helpful. I guess I'm stuck watching videos dongle. I'm sure techies weird workaround, people jump hoops function. 6. FIRMWARE -- failed times. Finally downloaded completely, device let update battery charged 50%. It matter device plugged directly wall. This thing charges SLOW I'm going wait hours install firmware see fixes issues. Update: didn't. 7. LOUD FAN -- I live this, loudest cooling fan I've ever portable electronics device five pounds. It almost sounds like white noise. Reminds fan old 3000-lumen Epson projector - device 30 times brighter used halogen bulb, though. 8. HARD TO ANGLE -- image projected slightly upward can't aimed. The cylindrical shape round footprint Nebula capsule make hard angle device. If slip book one edge, capsule rolls over. The cube shaped projectors (like Mars) easier regard. You almost HAVE get tripod Nebula Capsule's round design. Summary - Nebula capsule neat device, especially come years ago first pico projectors hit scene. The form factor cool sound especially impressive small gadget. However, projected screen dim projector requires dongles remote controls use properly. The Mars seems like better option brighter (though 500 ansi lumens), full-sized USB jack (no dongles), importantly ALL control buttons top. I generally like Anker products (especially battery packs) wish company much success. However, I recommend passing Nebula Capsule. Mine going back.",0.073,0.763,0.164,0.9945,1
505,522,522,A great projector with little draw backs.,It works very well and the app store has all the apps I use with my streaming stick. However the picture can be a tad fuzzy and it will take a while to charge but it works for what I use it for.,4,B0CHW11C8H,It works well app store apps I use streaming stick. However picture tad fuzzy take charge works I use for.,0.0,0.89,0.11,0.2732,1
506,523,523,Portable and easy for travel!,"We decided on this projector because of its portability and because of how quiet it is. The only complaint I have is that it's a ""smart"" gadget that blocks your ability to stream some things when mirroring from another device. For example, I have youtube premium and we tried to watch a FREE movie that was officially from YouTubes free movie section and it refused to show the picture. We tried it on my phone and also from the app that's built in. So obviously that affects my rating. I'm sure there's some way to get around this but I have yet to look into it. Great quality tho, but I would reccomend buying the tripod for it as well as a portable speaker since the built in ones arent that great. ❤️",4,B0CHW11C8H,"We decided projector portability quiet is. The complaint I ""smart"" gadget blocks ability stream things mirroring another device. For example, I youtube premium tried watch FREE movie officially YouTubes free movie section refused show picture. We tried phone also app that's built in. So obviously affects rating. I'm sure there's way get around I yet look it. Great quality tho, I would reccomend buying tripod well portable speaker since built ones arent great. ❤️",0.109,0.684,0.207,0.8604,1
507,524,524,Great product,"I recently purchased an HD TV antenna and was pleasantly surprised by its exceptional performance. The compact design and easy installation process made it a breeze to set

To my astonishment, the antenna effortlessly picked up 57 channels in my area, including major networks, local news stations, and educational programs.
I was equally impressed by the picture quality. The antenna delivered sharp, vibrant images with no pixelation or interference. The colors were rich and accurate.

Setting up the antenna was a straightforward process. I simply connected it to my TV, scanned for channels, and adjusted the positioning for optimal reception.
Overall, I highly recommend this HD TV antenna. It delivers great picture quality, boasts impressive channel reception, and offers a cost-effective and convenient way to enjoy television. Whether you're a cord-cutter or looking for a reliable alternative to traditional TV services, this antenna is an excellent investment.",5,B0D1K9H21Y,"I recently purchased HD TV antenna pleasantly surprised exceptional performance. The compact design easy installation process made breeze set To astonishment, antenna effortlessly picked 57 channels area, including major networks, local news stations, educational programs. I equally impressed picture quality. The antenna delivered sharp, vibrant images pixelation interference. The colors rich accurate. Setting antenna straightforward process. I simply connected TV, scanned channels, adjusted positioning optimal reception. Overall, I highly recommend HD TV antenna. It delivers great picture quality, boasts impressive channel reception, offers cost-effective convenient way enjoy television. Whether cord-cutter looking reliable alternative traditional TV services, antenna excellent investment.",0.0,0.688,0.312,0.9887,1
508,525,525,⭐️⭐️⭐️⭐️⭐️The BEST antenna I’ve EVER bought! ⭐️⭐️⭐️⭐️⭐️,"This antenna is absolutely amazing! I got rid of cable about 7 years ago and I have been through soooooo many antennas that don’t get many channels or the picture is blurry. With this one, the picture looks better than it did with cable and it gets so many channels! The only problem now is trying to figure out what I want to watch! You definitely won’t be disappointed with this one!!! Best decision ever!! Thank you!! If you will excuse me now, I have to go figure out what I’m watching next!! 🥰⭐️⭐️⭐️⭐️⭐️",5,B0D1K9H21Y,"This antenna absolutely amazing! I got rid cable 7 years ago I soooooo many antennas don’t get many channels picture blurry. With one, picture looks better cable gets many channels! The problem trying figure I want watch! You definitely won’t disappointed one!!! Best decision ever!! Thank you!! If excuse now, I go figure I’m watching next!! 🥰⭐️⭐️⭐️⭐️⭐️",0.104,0.606,0.291,0.9179,1
509,526,526,Thin. Does not take up a lot of space!,"I did not expect it to be so thin and easy to conceal, it will not take up a lot of space in your home or apartment. It does pick up channels well, forhow compact it is!
Unfortunately, we are going to have to return it, because we are very rural and will likely need a roof antenna to be able to receive many channels. This did pick up 15 though! It would be very good for someone who lives in a decent sized town or city.",5,B0D1K9H21Y,"I expect thin easy conceal, take lot space home apartment. It pick channels well, forhow compact is! Unfortunately, going return it, rural likely need roof antenna able receive many channels. This pick 15 though! It would good someone lives decent sized town city.",0.049,0.777,0.174,0.7256,1
510,527,527,I can get a ton of local channels now!,"Easy to plug in to your TV.  Make sure you use the supplied amplifier and test several locations on where to mount.  It typically works best closer to a window and high.  Once plugged in, run your TVs over the air scanner and keep trying until you get all the channels.  They are coming in crystal clear and it was easy to install.  I can still watch the finals without paying for silly subscriptions!",5,B0D1K9H21Y,"Easy plug TV. Make sure use supplied amplifier test several locations mount. It typically works best closer window high. Once plugged in, run TVs air scanner keep trying get channels. They coming crystal clear easy install. I still watch finals without paying silly subscriptions!",0.02,0.695,0.285,0.9339,1
